CBSA Code,Metro Division Code,Metropolitan statistical areas,Census,Estimates base,2010,2011,2012
10180,,"Abilene, TX","165,252","165,252","165,578","166,481","166,963"
10420,,"Akron, OH","703,200","703,205","703,055","702,854","702,262"
10500,,"Albany, GA","157,308","157,308","157,580","157,668","157,399"
10540,,"Albany, OR","116,672","116,672","116,894","118,135","118,360"
10580,,"Albany-Schenectady-Troy, NY","870,716","870,718","871,081","873,076","874,646"
10740,,"Albuquerque, NM","887,077","887,079","889,568","897,320","901,700"
10780,,"Alexandria, LA","153,922","153,922","154,093","154,379","154,441"
10900,,"Allentown-Bethlehem-Easton, PA-NJ","821,173","821,173","822,055","825,312","827,171"
11020,,"Altoona, PA","127,089","127,074","127,038","127,234","127,121"
11100,,"Amarillo, TX","251,933","251,933","252,686","255,781","257,578"
11180,,"Ames, IA","89,542","89,542","89,600","90,816","91,140"
11260,,"Anchorage, AK","380,821","380,821","383,177","388,038","392,535"
11460,,"Ann Arbor, MI","344,791","344,791","345,350","348,637","350,946"
11500,,"Anniston-Oxford-Jacksonville, AL","118,572","118,572","118,423","117,815","117,296"
11540,,"Appleton, WI","225,666","225,666","225,886","227,318","228,450"
11700,,"Asheville, NC","424,858","424,859","425,558","428,657","432,406"
12020,,"Athens-Clarke County, GA","192,541","192,541","193,538","194,616","196,425"
12060,,"Atlanta-Sandy Springs-Roswell, GA","5,286,728","5,286,732","5,304,665","5,374,678","5,457,831"
12100,,"Atlantic City-Hammonton, NJ","274,549","274,549","274,715","274,810","275,422"
12220,,"Auburn-Opelika, AL","140,247","140,251","140,761","143,580","147,257"
12260,,"Augusta-Richmond County, GA-SC","564,873","564,871","566,781","571,098","575,898"
12420,,"Austin-Round Rock, TX","1,716,289","1,716,286","1,727,661","1,780,708","1,834,303"
12540,,"Bakersfield, CA","839,631","839,631","841,687","849,457","856,158"
12580,,"Baltimore-Columbia-Towson, MD","2,710,489","2,710,489","2,715,586","2,733,678","2,753,149"
12620,,"Bangor, ME","153,923","153,921","153,892","153,930","153,746"
12700,,"Barnstable Town, MA","215,888","215,888","215,959","215,662","215,423"
12940,,"Baton Rouge, LA","802,484","802,480","804,270","808,713","815,298"
12980,,"Battle Creek, MI","136,146","136,146","136,075","135,529","135,099"
13020,,"Bay City, MI","107,771","107,771","107,723","107,273","106,935"
13140,,"Beaumont-Port Arthur, TX","403,190","403,190","403,562","405,031","404,180"
13220,,"Beckley, WV","124,898","124,901","124,892","125,115","124,890"
13380,,"Bellingham, WA","201,140","201,140","201,614","203,570","205,262"
13460,,"Bend-Redmond, OR","157,733","157,733","157,895","160,083","162,277"
13740,,"Billings, MT","158,934","158,934","159,395","160,852","162,848"
13780,,"Binghamton, NY","251,725","251,725","251,443","250,293","248,538"
13820,,"Birmingham-Hoover, AL","1,128,047","1,128,050","1,129,038","1,132,403","1,136,650"
13900,,"Bismarck, ND","114,778","114,778","115,294","117,284","120,060"
13980,,"Blacksburg-Christiansburg-Radford, VA","178,237","178,237","178,434","178,628","178,933"
14010,,"Bloomington, IL","186,133","186,133","186,447","187,267","188,715"
14020,,"Bloomington, IN","159,549","159,549","160,138","161,610","162,399"
14100,,"Bloomsburg-Berwick, PA","85,562","85,563","85,612","85,161","85,243"
14260,,"Boise City, ID","616,561","616,561","618,002","627,636","637,896"
14460,,"Boston-Cambridge-Newton, MA-NH","4,552,402","4,552,402","4,563,863","4,603,344","4,640,802"
14460,14454,".Boston, MA","1,887,792","1,887,792","1,893,664","1,910,714","1,926,030"
14460,15764,".Cambridge-Newton-Framingham, MA","2,246,244","2,246,244","2,251,629","2,272,874","2,292,833"
14460,40484,".Rockingham County-Strafford County, NH","418,366","418,366","418,570","419,756","421,939"
14500,,"Boulder, CO","294,567","294,571","296,318","300,406","305,318"
14540,,"Bowling Green, KY","158,599","158,599","159,043","160,650","162,231"
14740,,"Bremerton-Silverdale, WA","251,133","251,133","251,769","254,529","254,991"
14860,,"Bridgeport-Stamford-Norwalk, CT","916,829","916,829","918,814","927,567","933,835"
15180,,"Brownsville-Harlingen, TX","406,220","406,220","407,656","412,577","415,557"
15260,,"Brunswick, GA","112,370","112,368","112,637","113,122","113,448"
15380,,"Buffalo-Cheektowaga-Niagara Falls, NY","1,135,509","1,135,511","1,135,610","1,135,494","1,134,210"
15500,,"Burlington, NC","151,131","151,087","151,470","152,801","153,920"
15540,,"Burlington-South Burlington, VT","211,261","211,262","211,558","212,875","213,701"
15680,,"California-Lexington Park, MD","105,151","105,151","105,778","107,681","108,987"
15940,,"Canton-Massillon, OH","404,422","404,422","404,217","403,164","403,455"
15980,,"Cape Coral-Fort Myers, FL","618,754","618,754","620,601","631,602","645,293"
16020,,"Cape Girardeau, MO-IL","96,275","96,275","96,403","96,980","97,080"
16060,,"Carbondale-Marion, IL","126,575","126,580","126,772","126,944","126,745"
16180,,"Carson City, NV","55,274","55,274","55,278","54,851","54,838"
16220,,"Casper, WY","75,450","75,450","75,485","76,356","78,621"
16300,,"Cedar Rapids, IA","257,940","257,940","258,364","260,893","261,761"
16540,,"Chambersburg-Waynesboro, PA","149,618","149,618","149,908","150,891","151,275"
16580,,"Champaign-Urbana, IL","231,891","231,891","232,230","233,055","233,788"
16620,,"Charleston, WV","227,078","227,071","226,947","225,977","225,954"
16700,,"Charleston-North Charleston, SC","664,607","664,608","667,606","681,684","697,439"
16740,,"Charlotte-Concord-Gastonia, NC-SC","2,217,012","2,217,035","2,223,685","2,257,134","2,296,569"
16820,,"Charlottesville, VA","218,705","218,705","219,094","221,101","222,860"
16860,,"Chattanooga, TN-GA","528,143","528,145","529,239","533,343","537,889"
16940,,"Cheyenne, WY","91,738","91,738","92,120","92,487","94,483"
16980,,"Chicago-Naperville-Elgin, IL-IN-WI","9,461,105","9,461,105","9,471,608","9,495,719","9,522,434"
16980,16974,".Chicago-Naperville-Arlington Heights, IL","7,262,718","7,262,820","7,271,029","7,293,968","7,318,387"
16980,20994,".Elgin, IL","620,429","620,429","621,171","624,737","627,191"
16980,23844,".Gary, IN","708,070","708,070","708,473","708,282","706,800"
16980,29404,".Lake County-Kenosha County, IL-WI","869,888","869,786","870,935","868,732","870,056"
17020,,"Chico, CA","220,000","220,000","219,968","220,188","221,539"
17140,,"Cincinnati, OH-KY-IN","2,114,580","2,114,580","2,116,811","2,122,330","2,128,603"
17300,,"Clarksville, TN-KY","260,625","260,625","261,868","264,625","274,342"
17420,,"Cleveland, TN","115,788","115,788","115,972","116,738","117,820"
17460,,"Cleveland-Elyria, OH","2,077,240","2,077,240","2,076,016","2,068,397","2,063,535"
17660,,"Coeur d'Alene, ID","138,494","138,494","138,920","141,103","142,357"
17780,,"College Station-Bryan, TX","228,660","228,660","229,483","231,462","234,501"
17820,,"Colorado Springs, CO","645,613","645,613","650,130","659,773","668,353"
17860,,"Columbia, MO","162,642","162,642","163,222","165,921","168,535"
17900,,"Columbia, SC","767,598","767,602","769,819","776,793","784,745"
17980,,"Columbus, GA-AL","294,865","294,869","295,741","301,865","310,531"
18020,,"Columbus, IN","76,794","76,794","76,893","77,817","79,129"
18140,,"Columbus, OH","1,901,974","1,901,965","1,906,295","1,925,137","1,944,002"
18580,,"Corpus Christi, TX","428,185","428,188","428,050","430,961","437,109"
18700,,"Corvallis, OR","85,579","85,581","85,531","86,006","86,430"
18880,,"Crestview-Fort Walton Beach-Destin, FL","235,865","235,865","236,058","239,021","247,665"
19060,,"Cumberland, MD-WV","103,299","103,299","103,248","102,612","101,968"
19100,,"Dallas-Fort Worth-Arlington, TX","6,426,214","6,426,210","6,452,764","6,569,112","6,700,991"
19100,19124,".Dallas-Plano-Irving, TX","4,230,520","4,230,516","4,248,860","4,331,844","4,426,611"
19100,23104,".Fort Worth-Arlington, TX","2,195,694","2,195,694","2,203,904","2,237,268","2,274,380"
19140,,"Dalton, GA","142,227","142,227","142,361","142,507","142,751"
19180,,"Danville, IL","81,625","81,625","81,581","81,367","80,727"
19300,,"Daphne-Fairhope-Foley, AL","182,265","182,265","183,275","186,830","190,790"
19340,,"Davenport-Moline-Rock Island, IA-IL","379,690","379,690","380,245","381,226","382,630"
19380,,"Dayton, OH","799,232","799,232","799,980","801,040","800,972"
19460,,"Decatur, AL","153,829","153,829","153,887","154,115","154,233"
19500,,"Decatur, IL","110,768","110,768","110,734","110,616","110,122"
19660,,"Deltona-Daytona Beach-Ormond Beach, FL","590,289","590,293","590,681","591,550","595,309"
19740,,"Denver-Aurora-Lakewood, CO","2,543,482","2,543,478","2,554,118","2,598,496","2,645,209"
19780,,"Des Moines-West Des Moines, IA","569,633","569,633","572,000","580,716","588,999"
19820,,"Detroit-Warren-Dearborn, MI","4,296,250","4,296,247","4,291,828","4,287,966","4,292,060"
19820,19804,".Detroit-Dearborn-Livonia, MI","1,820,584","1,820,575","1,815,598","1,801,789","1,792,365"
19820,47664,".Warren-Troy-Farmington Hills, MI","2,475,666","2,475,672","2,476,230","2,486,177","2,499,695"
20020,,"Dothan, AL","145,639","145,639","145,892","146,651","147,620"
20100,,"Dover, DE","162,310","162,310","162,973","165,319","167,626"
20220,,"Dubuque, IA","93,653","93,653","93,879","94,436","95,097"
20260,,"Duluth, MN-WI","279,771","279,771","279,766","279,838","279,452"
20500,,"Durham-Chapel Hill, NC","504,357","504,401","505,894","513,900","522,826"
20700,,"East Stroudsburg, PA","169,842","169,843","169,981","169,986","168,798"
20740,,"Eau Claire, WI","161,151","161,151","161,365","162,633","163,599"
20940,,"El Centro, CA","174,528","174,528","174,667","175,897","176,948"
21060,,"Elizabethtown-Fort Knox, KY","148,338","148,339","149,922","151,186","150,413"
21140,,"Elkhart-Goshen, IN","197,559","197,561","197,476","198,700","199,619"
21300,,"Elmira, NY","88,830","88,830","88,835","88,798","88,911"
21340,,"El Paso, TX","804,123","804,123","806,981","821,408","830,735"
21500,,"Erie, PA","280,566","280,566","280,749","280,988","280,646"
21660,,"Eugene, OR","351,715","351,715","351,921","353,481","354,542"
21780,,"Evansville, IN-KY","311,552","311,552","311,814","312,705","313,433"
21820,,"Fairbanks, AK","97,581","97,581","98,267","99,286","100,272"
22020,,"Fargo, ND-MN","208,777","208,777","209,416","212,586","216,312"
22140,,"Farmington, NM","130,044","130,044","130,144","128,063","128,529"
22180,,"Fayetteville, NC","366,383","366,383","367,744","372,788","374,585"
22220,,"Fayetteville-Springdale-Rogers, AR-MO","463,204","463,207","465,776","473,933","482,200"
22380,,"Flagstaff, AZ","134,421","134,420","134,611","134,105","136,011"
22420,,"Flint, MI","425,790","425,790","425,152","422,053","418,408"
22500,,"Florence, SC","205,566","205,562","205,645","205,711","206,087"
22520,,"Florence-Muscle Shoals, AL","147,137","147,137","147,198","147,082","146,988"
22540,,"Fond du Lac, WI","101,633","101,633","101,695","101,856","101,843"
22660,,"Fort Collins, CO","299,630","299,630","300,426","305,091","310,487"
22900,,"Fort Smith, AR-OK","280,467","280,468","280,712","280,866","280,521"
23060,,"Fort Wayne, IN","416,257","416,257","416,779","419,568","421,406"
23420,,"Fresno, CA","930,450","930,450","932,696","940,887","947,895"
23460,,"Gadsden, AL","104,430","104,430","104,452","104,298","104,392"
23540,,"Gainesville, FL","264,275","264,275","264,470","266,392","268,232"
23580,,"Gainesville, GA","179,684","179,684","179,992","182,965","185,416"
23900,,"Gettysburg, PA","101,407","101,407","101,423","101,549","101,482"
24020,,"Glens Falls, NY","128,923","128,921","128,968","128,733","128,472"
24140,,"Goldsboro, NC","122,623","122,623","122,882","123,839","124,246"
24220,,"Grand Forks, ND-MN","98,461","98,461","98,599","98,061","98,888"
24260,,"Grand Island, NE","81,850","81,850","82,001","82,660","83,472"
24300,,"Grand Junction, CO","146,723","146,723","146,475","147,481","147,848"
24340,,"Grand Rapids-Wyoming, MI","988,938","988,938","989,481","996,454","1,005,648"
24420,,"Grants Pass, OR","82,713","82,713","82,865","82,680","82,930"
24500,,"Great Falls, MT","81,327","81,327","81,540","81,769","81,723"
24540,,"Greeley, CO","252,825","252,825","254,081","258,351","263,691"
24580,,"Green Bay, WI","306,241","306,241","306,775","308,761","311,098"
24660,,"Greensboro-High Point, NC","723,801","723,798","725,134","730,531","736,065"
24780,,"Greenville, NC","168,148","168,148","168,787","170,715","172,554"
24860,,"Greenville-Anderson-Mauldin, SC","824,112","824,106","825,788","833,063","842,853"
25060,,"Gulfport-Biloxi-Pascagoula, MS","370,702","370,702","371,561","375,911","379,582"
25180,,"Hagerstown-Martinsburg, MD-WV","251,599","251,599","252,495","254,601","256,278"
25220,,"Hammond, LA","121,097","121,101","121,453","122,519","123,441"
25260,,"Hanford-Corcoran, CA","152,982","152,982","152,301","151,941","151,364"
25420,,"Harrisburg-Carlisle, PA","549,475","549,473","550,212","551,611","553,980"
25500,,"Harrisonburg, VA","125,228","125,215","125,393","126,706","128,372"
25540,,"Hartford-West Hartford-East Hartford, CT","1,212,381","1,212,384","1,212,839","1,215,119","1,214,400"
25620,,"Hattiesburg, MS","142,842","142,841","143,280","145,262","146,766"
25860,,"Hickory-Lenoir-Morganton, NC","365,497","365,492","365,208","364,170","363,627"
25940,,"Hilton Head Island-Bluffton-Beaufort, SC","187,010","187,010","187,923","189,749","193,882"
25980,,"Hinesville, GA","77,917","77,917","77,434","80,577","81,519"
26140,,"Homosassa Springs, FL","141,236","141,236","141,312","139,849","139,360"
26300,,"Hot Springs, AR","96,024","96,024","96,230","96,637","96,903"
26380,,"Houma-Thibodaux, LA","208,178","208,178","208,192","208,657","208,922"
26420,,"Houston-The Woodlands-Sugar Land, TX","5,920,416","5,920,456","5,948,300","6,051,850","6,177,035"
26580,,"Huntington-Ashland, WV-KY-OH","364,908","364,908","365,008","364,742","364,665"
26620,,"Huntsville, AL","417,593","417,593","419,381","425,212","430,734"
26820,,"Idaho Falls, ID","133,265","133,337","133,797","134,847","136,108"
26900,,"Indianapolis-Carmel-Anderson, IN","1,887,877","1,887,877","1,892,368","1,910,053","1,928,982"
26980,,"Iowa City, IA","152,586","152,586","152,994","155,378","158,231"
27060,,"Ithaca, NY","101,564","101,564","101,651","101,763","102,554"
27100,,"Jackson, MI","160,248","160,248","160,226","159,810","160,309"
27140,,"Jackson, MS","567,122","567,121","568,181","573,693","576,800"
27180,,"Jackson, TN","130,011","130,009","130,039","129,830","130,450"
27260,,"Jacksonville, FL","1,345,596","1,345,596","1,349,103","1,360,998","1,377,850"
27340,,"Jacksonville, NC","177,772","177,772","179,487","177,430","183,263"
27500,,"Janesville-Beloit, WI","160,331","160,331","160,235","160,067","160,418"
27620,,"Jefferson City, MO","149,807","149,807","149,964","150,281","150,151"
27740,,"Johnson City, TN","198,716","198,716","198,966","199,701","200,684"
27780,,"Johnstown, PA","143,679","143,679","143,484","142,624","141,584"
27860,,"Jonesboro, AR","121,026","121,026","121,247","122,758","124,042"
27900,,"Joplin, MO","175,518","175,516","175,903","176,663","174,327"
27980,,"Kahului-Wailuku-Lahaina, HI","154,924","154,924","155,126","156,756","158,316"
28020,,"Kalamazoo-Portage, MI","326,589","326,589","326,911","328,353","330,034"
28100,,"Kankakee, IL","113,449","113,449","113,502","113,541","113,040"
28140,,"Kansas City, MO-KS","2,009,342","2,009,338","2,013,864","2,024,937","2,038,724"
28420,,"Kennewick-Richland, WA","253,340","253,340","255,626","263,703","268,243"
28660,,"Killeen-Temple, TX","405,300","405,300","408,221","412,390","420,375"
28700,,"Kingsport-Bristol-Bristol, TN-VA","309,544","309,544","309,547","308,579","309,006"
28740,,"Kingston, NY","182,493","182,494","182,395","182,582","181,791"
28940,,"Knoxville, TN","837,571","837,571","838,745","843,189","848,350"
29020,,"Kokomo, IN","82,752","82,752","82,730","82,817","82,849"
29100,,"La Crosse-Onalaska, WI-MN","133,665","133,665","133,891","134,415","135,298"
29180,,"Lafayette, LA","466,750","466,750","467,416","470,682","474,415"
29200,,"Lafayette-West Lafayette, IN","201,789","201,789","201,952","204,098","206,412"
29340,,"Lake Charles, LA","199,607","199,607","200,050","200,589","201,195"
29420,,"Lake Havasu City-Kingman, AZ","200,186","200,186","200,380","202,592","203,334"
29460,,"Lakeland-Winter Haven, FL","602,095","602,095","603,343","609,823","616,158"
29540,,"Lancaster, PA","519,445","519,448","520,344","523,862","526,823"
29620,,"Lansing-East Lansing, MI","464,036","464,036","464,160","465,614","465,732"
29700,,"Laredo, TX","250,304","250,304","251,284","254,948","259,172"
29740,,"Las Cruces, NM","209,233","209,234","210,325","212,944","214,445"
29820,,"Las Vegas-Henderson-Paradise, NV","1,951,269","1,951,269","1,953,422","1,967,926","2,000,759"
